# id,ConstantLostPacketCount,LostCount,LostDistWeight,LostPacketCount,inRcvry,inSS,Rlmrtt,Rlsrtt,Rsprtt,type
33020, 2, 2, 1.1906, 1, 0, 0, 1.0350, 1.0128, 1.0018, 0
33021, 1, 1, 3.0000, 1, 0, 0, 1.0338, 1.0145, 1.0021, 0
33022, 2, 2, 1.1906, 1, 1, 0, 1.0107, 0.9928, 0.9990, 0
33023, 3, 3, 0.6934, 1, 1, 0, 1.0284, 1.0090, 1.0013, 0
33024, 5, 4, 0.3341, 2, 1, 0, 1.0094, 0.9915, 0.9988, 0
33025, 6, 5, 0.3509, 1, 1, 0, 1.0177, 0.9997, 1.0000, 0
33026, 7, 6, 0.2752, 1, 1, 0, 1.0038, 0.9878, 0.9983, 0
33027, 1, 1, 1.0000, 1, 1, 0, 1.0290, 1.0114, 1.0016, 0
33028, 2, 1, 0.7071, 2, 1, 0, 1.0240, 1.0048, 1.0007, 0
33029, 3, 2, 0.3969, 1, 1, 0, 1.0236, 1.0038, 1.0005, 0
33030, 4, 3, 0.2311, 1, 1, 0, 1.0166, 0.9974, 0.9996, 0
33031, 5, 4, 0.1575, 1, 1, 0, 1.0165, 0.9976, 0.9997, 0
33032, 1, 1, 1.0000, 1, 1, 0, 1.0041, 0.9882, 0.9983, 0
33033, 1, 1, 2.0000, 1, 0, 0, 1.0962, 1.0368, 1.0053, 0
33034, 1, 1, 4.0000, 1, 0, 0, 1.0363, 0.9791, 0.9970, 0
33035, 2, 2, 1.5874, 1, 1, 0, 1.0492, 0.9923, 0.9989, 0
33036, 1, 1, 1.0000, 1, 1, 0, 1.0254, 0.9750, 0.9964, 0
33037, 2, 2, 0.3969, 1, 1, 0, 1.0289, 0.9810, 0.9973, 0
33038, 1, 1, 1.0000, 1, 1, 0, 1.0080, 0.9688, 0.9956, 0
33039, 3, 2, 0.2806, 2, 1, 0, 1.0030, 0.9684, 0.9955, 0
33040, 1, 1, 1.0000, 1, 1, 0, 1.0558, 1.0134, 1.0019, 0
