# id,ConstantLostPacketCount,LostCount,LostDistWeight,LostPacketCount,inRcvry,inSS,Rlmrtt,Rlsrtt,Rsprtt,type
3723, 4, 1, 1.5000, 4, 0, 0, 1.4217, 1.1263, 1.0183, 0
3724, 28, 6, 2.2150, 5, 0, 0, 1.1194, 0.8916, 0.9848, 0
3725, 32, 2, 0.2049, 15, 1, 0, 1.4964, 1.2955, 1.0441, 0
3726, 1, 1, 42.0000, 1, 0, 0, 1.0106, 0.9651, 0.9950, 1
3727, 7, 3, 23.1120, 1, 1, 0, 1.2251, 1.0120, 1.0017, 1
3728, 2, 1, 70.7107, 2, 0, 0, 1.0285, 0.9936, 0.9991, 0
3729, 5, 3, 0.9245, 1, 0, 0, 1.2532, 0.7722, 0.9684, 0
3730, 2, 1, 36.0624, 2, 0, 0, 1.4645, 1.1410, 1.0205, 0
3731, 1, 1, 41.0000, 1, 0, 0, 1.1286, 1.0255, 1.0037, 1
3732, 54, 17, 1.1439, 4, 1, 0, 1.0065, 1.0020, 1.0003, 0
3733, 3, 2, 0.5612, 2, 1, 0, 1.1021, 0.8352, 0.9771, 0
3734, 1, 1, 32.0000, 1, 0, 0, 1.0026, 0.9856, 0.9979, 1
3735, 1, 1, 37.0000, 1, 0, 0, 1.0108, 0.9737, 0.9963, 1
3736, 10, 6, 7.8879, 1, 1, 0, 1.0052, 0.9985, 0.9998, 0
3737, 77, 17, 1.3040, 1, 1, 0, 1.0765, 1.0295, 1.0042, 0
